Recipient,Office,Contributions(Total),Cycle
"Giuliani, Rudolph W (R)",Pres,$250,2008
"Paul, Ron (R-TX)",House,$500,2012
"Clinton, Hillary (D)",Pres,"$29,924",2016
"Gottheimer, Josh (D-NJ)",House,"$15,831",2016
"Sanders, Bernie (D-VT)",Senate,"$12,343",2016
"Eshoo, Anna (D-CA)",House,"$12,000",2016
"McCarthy, Kevin (R-CA)",House,"$11,000",2016
"Christie, Chris (R)",Pres,"$10,800",2016
"Ryan, Paul (R-WI)",House,"$10,252",2016
"Crapo, Mike (R-ID)",Senate,"$10,000",2016
"Isakson, Johnny (R-GA)",Senate,"$10,000",2016
"Thune, John (R-SD)",Senate,"$10,000",2016
"Portman, Rob (R-OH)",Senate,"$9,000",2016
"Rubio, Marco (R-FL)",Senate,"$8,904",2016
"McCaul, Michael (R-TX)",House,"$8,500",2016
"Meehan, Patrick (R-PA)",House,"$7,500",2016
"Murray, Patty (D-WA)",Senate,"$7,500",2016
"Pelosi, Nancy (D-CA)",House,"$7,500",2016
"Sanchez, Linda (D-CA)",House,"$7,500",2016
"Peters, Scott (D-CA)",House,"$7,000",2016
"Comstock, Barbara (R-VA)",House,"$6,250",2016
"Lofgren, Zoe (D-CA)",House,"$6,000",2016
"Cruz, Ted (R-TX)",Senate,"$5,884",2016
"Bennet, Michael F (D-CO)",Senate,"$5,500",2016
"Leahy, Patrick (D-VT)",Senate,"$5,500",2016
"Tiberi, Pat (R-OH)",House,"$5,500",2016
"Trump, Donald (R)",Pres,"$5,356",2016
"Blunt, Roy (R-MO)",Senate,"$5,000",2016
"Boozman, John (R-AR)",Senate,"$5,000",2016
"Brady, Kevin (R-TX)",House,"$5,000",2016
"Burr, Richard (R-NC)",Senate,"$5,000",2016
"Connolly, Gerry (D-VA)",House,"$5,000",2016
"Crowley, Joseph (D-NY)",House,"$5,000",2016
"Hoyer, Steny H (D-MD)",House,"$5,000",2016
"Johnson, Sam (R-TX)",House,"$5,000",2016
"Larson, John B (D-CT)",House,"$5,000",2016
"Lujan, Ben R (D-NM)",House,"$5,000",2016
"Nunes, Devin (R-CA)",House,"$5,000",2016
"Paulsen, Erik (R-MN)",House,"$5,000",2016
"Price, Tom (R-GA)",House,"$5,000",2016
"Schatz, Brian (D-HI)",Senate,"$5,000",2016
"Schumer, Charles E (D-NY)",Senate,"$5,000",2016
"Smith, Lamar (R-TX)",House,"$5,000",2016
"Thompson, Mike (D-CA)",House,"$5,000",2016
"Thornberry, Mac (R-TX)",House,"$5,000",2016
"Walden, Greg (R-OR)",House,"$5,000",2016
"Wyden, Ron (D-OR)",Senate,"$5,000",2016
"Jenkins, Lynn (R-KS)",House,"$4,500",2016
"Kilmer, Derek (D-WA)",House,"$4,500",2016
"Reed, Tom (R-NY)",House,"$4,500",2016
"Bera, Ami (D-CA)",House,"$4,000",2016
"Cardenas, Tony (D-CA)",House,"$4,000",2016
"Issa, Darrell (R-CA)",House,"$4,000",2016
"Matsui, Doris O (D-CA)",House,"$4,000",2016
"Khanna, Ro (D-CA)",House,"$3,700",2016
"Aguilar, Pete (D-CA)",House,"$3,500",2016
"Ayotte, Kelly (R-NH)",Senate,"$3,500",2016
"Becerra, Xavier (D-CA)",House,"$3,500",2016
"Swalwell, Eric (D-CA)",House,"$3,500",2016
"Toomey, Pat (R-PA)",Senate,"$3,500",2016
