Recipient,Office,Contributions(Total),Cycle
"Obama, Barack (D-IL)",Senate,"$1,000",2008
"Obama, Barack (D)",Pres,"$19,712",2012
"Warren, Elizabeth (D-MA)",Senate,"$2,500",2012
"Waxman, Henry (D-CA)",House,"$2,500",2012
"Clayton, Taj (D-TX)",House,$500,2012
"Franken, Al (D-MN)",Senate,$500,2012
"Romney, Mitt (R)",Pres,$250,2012
"Khanna, Ro (D-CA)",House,"$4,600",2014
"Markey, Ed (D-MA)",Senate,"$3,600",2014
"Alexander, Lamar (R-TN)",Senate,"$2,000",2014
"Barton, Joe (R-TX)",House,$500,2014
"Landrieu, Mary L (D-LA)",Senate,$500,2014
"Clinton, Hillary (D)",Pres,"$124,524",2016
"Sanders, Bernie (D-VT)",Senate,"$17,035",2016
"Campbell, Foster (D-LA)",Senate,"$6,250",2016
"Markey, Ed (D-MA)",Senate,"$6,200",2016
"Khanna, Ro (D-CA)",House,"$5,400",2016
"Trump, Donald (R)",Pres,"$3,900",2016
"Plumb, John (D-NY)",House,"$3,000",2016
"Feingold, Russ (D-WI)",Senate,"$2,985",2016
"Harris, Kamala D (D-CA)",Senate,"$2,850",2016
"Lewis, John (D-GA)",House,"$2,500",2016
"Moran, Jerry (R-KS)",Senate,"$2,500",2016
"Hurd, Will (R-TX)",House,"$2,000",2016
"Stein, Jill (3)",Pres,"$2,000",2016
"Rubio, Marco (R-FL)",Senate,"$1,500",2016
"Franken, Al (D-MN)",Senate,"$1,075",2016
"Bass, Karen (D-CA)",House,"$1,000",2016
"Calone, David L (D-NY)",House,"$1,000",2016
"Eshoo, Anna (D-CA)",House,"$1,000",2016
"Goodlatte, Bob (R-VA)",House,"$1,000",2016
"Grassley, Chuck (R-IA)",Senate,"$1,000",2016
"Lee, Mike (R-UT)",Senate,"$1,000",2016
"Throne-Holst, Anna (D-NY)",House,"$1,000",2016
"Wyden, Ron (D-OR)",Senate,"$1,000",2016
"Obama, Barack (D)",Pres,$740,2016
"Bayh, Evan (D-IN)",Senate,$700,2016
"Hassan, Maggie (D-NH)",Senate,$547,2016
"Bush, Jeb (R)",Pres,$545,2016
"Swalwell, Eric (D-CA)",House,$536,2016
"Lessig, Lawrence (D)",Pres,$500,2016
"Ryan, Paul (R-WI)",House,$500,2016
"Masto, Catherine Cortez (D-NV)",Senate,$322,2016
"Lee, Yungman (D-NY)",House,$300,2016
"Brownley, Julia (D-CA)",House,$250,2016
"Ross, Deborah (D-NC)",Senate,$250,2016
"Wilder, Sellus (D-KY)",Senate,$250,2016
"Kander, Jason (D-MO)",Senate,$200,2016
"Murphy, Patrick (D-FL)",House,$200,2016
"McGinty, Katie (D-PA)",Senate,$75,2016
"Kirkpatrick, Ann (D-AZ)",House,$72,2016
"Carroll, Morgan (D-CO)",House,$30,2016
"Bennett, LuAnn (D-VA)",House,$22,2016
"Bonoff, Terri (D-MN)",House,$22,2016
"Caforio, Bryan (D-CA)",House,$22,2016
"Gottheimer, Josh (D-NJ)",House,$22,2016
"Kihuen, Ruben (D-NV)",House,$22,2016
"Otto, Bill (D-MO)",House,$22,2016
"Owens, Doug (D-UT)",House,$22,2016
"Santarsiero, Steve (D-PA)",House,$22,2016
"Strickland, Ted (D-OH)",Senate,$22,2016
"Sturgill, Jerry (D-ID)",Senate,$22,2016
"Tryon, Stephen P (D-UT)",House,$22,2016
"Wicklund, Mark (D-IL)",House,$22,2016
"Williams, Jay (D-SD)",Senate,$22,2016
"Barragan, Nanette (D-CA)",House,$8,2016
"Nelson, Tom (D-WI)",House,$8,2016
"Nolan, Rick (D-MN)",House,$8,2016
"Rosen, Jacky (D-NV)",House,"$14,360",2018
"Harder, Josh (D-CA)",House,"$12,671",2018
"O'Rourke, Beto (D-TX)",House,"$11,800",2018
"Jones, Doug (D-AL)",Senate,"$11,616",2018
"Golden, Jared (D-ME)",House,"$10,816",2018
"Scholten, JD (D-IA)",House,"$10,799",2018
"King, Jess (D-PA)",House,"$10,366",2018
"Baer, Lauren (D-FL)",House,"$8,736",2018
"Bush, Diane Mitsch (D-CO)",House,"$7,133",2018
"Sinema, Kyrsten (D-AZ)",House,"$7,050",2018
"McCormick, Karen (D-CO)",House,"$6,983",2018
"Heitkamp, Heidi (D-ND)",Senate,"$5,856",2018
"McCaskill, Claire (D-MO)",Senate,"$4,898",2018
"Campa-Najjar, Ammar (D-CA)",House,"$4,634",2018
"Bredesen, Philip (D-TN)",Senate,"$4,450",2018
"Doyle, Marge (D-CA)",House,"$4,026",2018
"Gillibrand, Kirsten (D-NY)",Senate,"$3,705",2018
"Hildebrandt, Madeline (D-NM)",House,"$3,686",2018
"Spencer, Paul (D-AR)",House,"$3,677",2018
"Edwards, Greg (D-PA)",House,"$3,676",2018
"Holcombe, Jessica (D-CA)",House,"$3,675",2018
"Rouda, Harley (D-CA)",House,"$3,534",2018
"Galvin, Alyse (D-AK)",House,"$3,449",2018
"Balter, Dana (D-NY)",House,"$3,441",2018
"Morse, Jessica (D-CA)",House,"$3,421",2018
"Gasper, Theresa (D-OH)",House,"$3,420",2018
"Horton, Kyle (D-NC)",House,"$3,420",2018
"Mitrano, Tracy (D-NY)",House,"$3,420",2018
"Trahan, Lori (D-MA)",House,"$3,200",2018
"Ghorbani, Shireen (D-UT)",House,"$3,190",2018
"Nelson, Bill (D-FL)",Senate,"$3,153",2018
"Porter, Katie (D-CA)",House,"$3,132",2018
"Hill, Katie (D-CA)",House,"$3,109",2018
"Palmer, Susan (D-OH)",House,"$3,090",2018
"Espy, Mike (D-MS)",Senate,"$2,950",2018
"Levin, Mike (D-CA)",House,"$2,944",2018
"McGrath, Amy (D-KY)",House,"$2,901",2018
"Janz, Andrew (D-CA)",House,"$2,779",2018
"Ossoff, Jon (D-GA)",House,"$2,710",2018
"Kopser, Joseph (D-TX)",House,"$2,701",2018
"Donovan, Dan (R-NY)",House,"$2,700",2018
"Wicker, Roger (R-MS)",Senate,"$2,700",2018
"Casey, Bob (D-PA)",Senate,"$2,000",2018
"Clyburn, James E (D-SC)",House,"$2,000",2018
"Markey, Ed (D-MA)",Senate,"$1,700",2018
"Corbin-Johnson, Shavonnia (D-PA)",House,"$1,500",2018
"Harris, Kamala D (D-CA)",Senate,"$1,444",2018
"Donnelly, Joe (D-IN)",Senate,"$1,376",2018
"Pappas, Chris (D-NH)",House,"$1,351",2018
"Delgado, Antonio (D-NY)",House,"$1,113",2018
"Coffman, Mike (R-CO)",House,"$1,000",2018
"Hurd, Will (R-TX)",House,"$1,000",2018
"Kennedy, Joe III (D-MA)",House,"$1,000",2018
"Lofgren, Zoe (D-CA)",House,"$1,000",2018
"Min, David (D-CA)",House,"$1,000",2018
"Ocasio-Cortez, Alexandria (D-NY)",House,"$1,000",2018
"Payne, Rachel (D-CA)",House,"$1,000",2018
"Stefanik, Elise (R-NY)",House,"$1,000",2018
"Bryce, Randy (D-WI)",House,$977,2018
"Forde, Brian (D-CA)",House,$900,2018
"Tester, Jon (D-MT)",Senate,$754,2018
"Brown, Lisa (D-WA)",House,$751,2018
"Nunes, Devin (R-CA)",House,$750,2018
"Kim, Andy (D-NJ)",House,$730,2018
"Fletcher, Lizzie (D-TX)",House,$668,2018
"Cisneros, Gil (D-CA)",House,$634,2018
"Moser, Laura (D-TX)",House,$600,2018
"Wexton, Jennifer (D-VA)",House,$565,2018
"Franken, Al (D-MN)",Senate,$550,2018
"Clark, Anthony (D-IL)",House,$509,2018
"Baldwin, Tammy (D-WI)",Senate,$500,2018
"Gupta, Suneel (D-MI)",House,$500,2018
"Rose, Max (D-NY)",House,$351,2018
"Pelosi, Nancy (D-CA)",House,$350,2018
"Houlahan, Chrissy (D-PA)",House,$334,2018
"Sherrill, Mikie (D-NJ)",House,$334,2018
"Spanberger, Abigail (D-VA)",House,$334,2018
"Jammal, Sam (D-CA)",House,$303,2018
"O'Connor, Danny (D-OH)",House,$286,2018
"Rader, Betsy (D-OH)",House,$274,2018
"Mucarsel-Powell, Debbie (D-FL)",House,$264,2018
"Brown, Sherrod (D-OH)",Senate,$250,2018
"Gottheimer, Josh (D-NJ)",House,$250,2018
"Joffrion, Peter (D-AL)",House,$250,2018
"Yankovich, David (D-WI)",House,$250,2018
"Hegar, MJ (D-TX)",House,$159,2018
"Axne, Cindy (D-IA)",House,$152,2018
"Wu, Brianna (D-MA)",House,$150,2018
"Davids, Sharice (D-KS)",House,$116,2018
"Warren, Elizabeth (D-MA)",Senate,$113,2018
"Applegate, Douglas L (D-CA)",House,$100,2018
"Huffstetler, Roger Dean (D-VA)",House,$100,2018
"Phillips, Mariah (D-TN)",House,$100,2018
"Pressley, Ayanna (D-MA)",House,$90,2018
"Schrier, Kim (D-WA)",House,$90,2018
"Kelly, Brendan (D-IL)",House,$82,2018
"Eastman, Kara (D-NE)",House,$76,2018
"Williams, Kathleen (D-MT)",House,$74,2018
"Feehan, Daniel (D-MN)",House,$71,2018
"Jones, Gina (D-TX)",House,$63,2018
"Long, Carolyn (D-WA)",House,$63,2018
"Scott, George (D-PA)",House,$53,2018
"McAdams, Ben (D-UT)",House,$51,2018
"Quist, Robert E. (D-MT)",House,$50,2018
"Ellison, Keith (D-MN)",House,$45,2018
"Casten, Sean (D-IL)",House,$44,2018
"DiNicola, Ron (D-PA)",House,$40,2018
"Shapiro, David (D-FL)",House,$40,2018
"Stevens, Haley (D-MI)",House,$40,2018
"Cox, TJ (D-CA)",House,$30,2018
"Slotkin, Elissa (D-MI)",House,$30,2018
"Radinovich, Joe (D-MN)",House,$29,2018
"Shalala, Donna (D-FL)",House,$29,2018
"Allred, Colin (D-TX)",House,$28,2018
"Finkenauer, Abby (D-IA)",House,$26,2018
"London, Cathleen Greenberg (D-ME)",Senate,$25,2018
"Wyden, Ron (D-OR)",Senate,$25,2018
"Barzee Flores, Mary (D-FL)",House,$24,2018
"McBath, Lucy (D-GA)",House,$24,2018
"Small, Xochitl Torres (D-NM)",House,$24,2018
"Underwood, Lauren A (D-IL)",House,$24,2018
"Crow, Jason (D-CO)",House,$15,2018
"Myers, Cathy (D-WI)",House,$15,2018
"Schiff, Adam (D-CA)",House,$15,2018
"Wild, Susan (D-PA)",House,$15,2018
"Driskell, Gretchen (D-MI)",House,$14,2018
"Malinowski, Tom (D-NJ)",House,$14,2018
"Ojeda, Richard (D-WV)",House,$11,2018
"Cantwell, Maria (D-WA)",Senate,$10,2018
"Murphy, Christopher S (D-CT)",Senate,$10,2018
"Lewis, John (D-GA)",House,$5,2018
"Sanders, Bernie (I-VT)",Senate,$3,2018
"Wadkins, Randy (D-MS)",House,$2,2018
"Bourdeaux, Carolyn (D-GA)",House,$1,2018
"Brindisi, Anthony (D-NY)",House,$1,2018
"Carlson, Kristen (D-FL)",House,$1,2018
"Coleman, Linda (D-NC)",House,$1,2018
"Craig, Angie (D-MN)",House,$1,2018
"Cunningham, Joe (D-SC)",House,$1,2018
"Davis, Paul (D-KS)",House,$1,2018
"Gershon, Perry (D-NY)",House,$1,2018
"Harbaugh, Ken (D-OH)",House,$1,2018
"Hayes, Jahana (D-CT)",House,$1,2018
"Horsford, Steven (D-NV)",House,$1,2018
"Hoyos, Renee (D-TN)",House,$1,2018
"Kirkpatrick, Ann (D-AZ)",House,$1,2018
"Kohl, Dan (D-WI)",House,$1,2018
"Litton, Todd (D-TX)",House,$1,2018
"Londrigan, Betsy Dirksen (D-IL)",House,$1,2018
"Longjohn, Matt (D-MI)",House,$1,2018
"Luria, Elaine (D-VA)",House,$1,2018
"Manning, Kathy (D-NC)",House,$1,2018
"McCready, Dan (D-NC)",House,$1,2018
"Phillips, Dean (D-MN)",House,$1,2018
"Pureval, Aftab (D-OH)",House,$1,2018
"Soderberg, Nancy (D-FL)",House,$1,2018
"Tucker, Clarke (D-AR)",House,$1,2018
"Van Drew, Jeff (D-NJ)",House,$1,2018
"Vanostran, Cort (D-MO)",House,$1,2018
"Wallace, Scott (D-PA)",House,$1,2018
"Watson, Liz (D-IN)",House,$1,2018
