Recipient,Office,Contributions(Total),Cycle
"Lazio, Rick A (R-NY)",House,"$2,000",2000
"Bush, George W (R)",Pres,"$1,500",2000
"Gore, Al (D)",Pres,"$1,000",2000
"Talent, James M (R-Mo)",Senate,"$2,000",2002
"Thune, John (R-SD)",House,"$2,000",2002
"Coleman, Norm (R-Minn)",Senate,"$1,000",2002
"Kerry, John (D-Mass)",Senate,"$1,000",2002
"Bond, Christopher ""Kit"" (R-MO)",Senate,"$6,000",2004
"Kerry, John (D-MA)",Senate,"$6,000",2004
"Bush, George W (R)",Pres,"$2,350",2004
"Grassley, Chuck (R-IA)",Senate,"$2,000",2004
"Cantwell, Maria (D-WA)",Senate,"$1,000",2004
"Dreier, David (R-CA)",House,"$1,000",2004
"Martinez, Mel (R-FL)",Senate,"$1,000",2004
"Akaka, Daniel K (D-HI)",Senate,"$4,200",2006
"Bayh, Evan (D-IN)",Senate,"$2,900",2006
"Thielen, Cynthia H (R-HI)",Senate,"$2,100",2006
"Allen, George (R-VA)",Senate,"$1,000",2006
"Lantos, Tom (D-CA)",House,$500,2006
"Davis, Tom (R-VA)",House,$250,2006
"Durbin, Dick (D-IL)",Senate,$250,2006
"Obama, Barack (D-IL)",Senate,"$33,604",2008
"McCain, John (R-AZ)",Senate,"$30,400",2008
"Clinton, Hillary (D-NY)",Senate,"$6,550",2008
"Coleman, Norm (R-MN)",Senate,"$3,300",2008
"Romney, Mitt (R)",Pres,"$2,800",2008
"Allen, Tom H (D-ME)",House,"$2,300",2008
"Sununu, John E (R-NH)",Senate,"$2,000",2008
"Speier, Jackie (D-CA)",House,"$1,500",2008
"Giuliani, Rudolph W (R)",Pres,"$1,250",2008
"Cote, Adam (D-ME)",House,"$1,000",2008
"Edwards, John (D)",Pres,"$1,000",2008
"Lofgren, Zoe (D-CA)",House,"$1,000",2008
"Pelosi, Nancy (D-CA)",House,"$1,000",2008
"Warner, Mark (D-VA)",Senate,"$1,000",2008
"Van Hollen, Chris (D-MD)",House,$500,2008
"Udall, Mark (D-CO)",House,$450,2008
"Baker, Judith W (D-MO)",House,$250,2008
"Brown, Charles D (D-CA)",House,$250,2008
"Burner, Darcy (D-WA)",House,$250,2008
"Price, David (D-NC)",House,$250,2008
"Wolf, Frank (R-VA)",House,$250,2008
"Fiorina, Carly (R-CA)",Senate,"$9,600",2010
"Ashooh, Richard E (R-NH)",House,"$1,500",2010
"Gillibrand, Kirsten (D-NY)",Senate,"$1,500",2010
"Van Hollen, Chris (D-MD)",House,"$1,000",2010
"Boxer, Barbara (D-CA)",Senate,$650,2010
"Robinson, Art (R-OR)",House,$500,2010
"Richardson, Elliot (D-IL)",House,$400,2010
"Lofgren, Zoe (D-CA)",House,$250,2010
"Moran, Jim (D-VA)",House,$200,2010
"Bayh, Evan (D-IN)",Senate,$-500,2010
"Obama, Barack (D)",Pres,"$106,289",2012
"Romney, Mitt (R)",Pres,"$10,250",2012
"Lingle, Linda (R-HI)",Senate,"$10,000",2012
"Khanna, Ro (D-CA)",House,"$5,500",2012
"Ryan, Paul (R-WI)",House,"$5,000",2012
"Johnson, Gary (L)",Pres,"$3,750",2012
"Paul, Ron (R-TX)",House,"$2,757",2012
"King, Jim (D-MA)",Senate,"$2,500",2012
"Connolly, Gerry (D-VA)",House,"$1,500",2012
"Berman, Howard L (D-CA)",House,"$1,250",2012
"Lawson, Stacey (D-CA)",House,"$1,200",2012
"Solomon, Norman (D-CA)",House,"$1,000",2012
"Brown, Sherrod (D-OH)",Senate,$750,2012
"Gillibrand, Kirsten (D-NY)",Senate,$750,2012
"Menendez, Robert (D-NJ)",Senate,$750,2012
"Cabral, Kristin (D-VA)",House,$500,2012
"Israel, Steve (D-NY)",House,$500,2012
"Lofgren, Zoe (D-CA)",House,$500,2012
"Warren, Elizabeth (D-MA)",Senate,$500,2012
"Baldwin, Tammy (D-WI)",House,$250,2012
