Recipient,Office,Contributions(Total),Cycle
"Evans, John L (3-CA)",House,"$2,000",1998
"Lofgren, Zoe (D-CA)",House,$200,1998
"Bradley, Bill (D)",Pres,"$4,000",2000
"Bush, George W (R)",Pres,"$4,000",2000
"Lofgren, Zoe (D-CA)",House,"$2,500",2000
"Brannen, Barney (D-NH)",House,"$2,000",2000
"Dooley, Cal (D-CA)",House,"$1,500",2000
"Frist, Bill (R-TN)",Senate,"$1,500",2000
"Abraham, Spencer (R-MI)",Senate,"$1,000",2000
"Ashcroft, John (R-MO)",Senate,"$1,000",2000
"Bennett, Robert F (R-UT)",Senate,"$1,000",2000
"Boucher, Rick (D-VA)",House,"$1,000",2000
"Brown, Jean Elliott (D-FL)",House,"$1,000",2000
"DeWine, Mike (R-OH)",Senate,"$1,000",2000
"Feinstein, Dianne (D-CA)",Senate,"$1,000",2000
"Frost, Martin (D-TX)",House,"$1,000",2000
"Gore, Al (D)",Pres,"$1,000",2000
"Hatch, Orrin G (R-UT)",Senate,"$1,000",2000
"Leahy, Patrick (D-VT)",Senate,"$1,000",2000
"McCain, John (R-AZ)",Senate,"$1,000",2000
"Reid, Harry (D-NV)",Senate,"$1,000",2000
"Tauscher, Ellen (D-CA)",House,"$1,000",2000
"Berman, Howard L (D-CA)",House,$500,2000
"Conyers, John Jr (D-MI)",House,$500,2000
"Davis, Tom (R-VA)",House,$500,2000
"Goodlatte, Bob (R-VA)",House,$500,2000
"Luther, Bill (D-MN)",House,$500,2000
"Parker, Robin N (D-CA)",House,$500,2000
"Eshoo, Anna (D-CA)",House,$250,2000
"Nader, Ralph (3)",Pres,$250,2000
"Sanchez, Loretta (D-CA)",House,$250,2000
"Gephardt, Richard A (D-Mo)",House,"$6,000",2002
"Perritt, Henry H Jr (D-Ill)",House,"$4,000",2002
"Hastert, Dennis (R-Ill)",House,"$2,250",2002
"Hentschel, Noel Irwin (R-Calif)",House,"$2,000",2002
"Boucher, Rick (D-Va)",House,"$1,500",2002
"Cox, Christopher (R-Calif)",House,"$1,350",2002
"Blunt, Roy (R-Mo)",House,"$1,000",2002
"Conyers, John Jr (D-Mich)",House,"$1,000",2002
"DeWine, Mike (R-Ohio)",Senate,"$1,000",2002
"Dooley, Cal (D-Calif)",House,"$1,000",2002
"Goodlatte, Bob (R-Va)",House,"$1,000",2002
"Honda, Mike (D-Calif)",House,"$1,000",2002
"Lofgren, Zoe (D-Calif)",House,"$1,000",2002
"Sensenbrenner, F James Jr (R-Wis)",House,"$1,000",2002
"Shriver, Mark Kennedy (D-Md)",House,"$1,000",2002
"Smith, Adam (D-Wash)",House,"$1,000",2002
"Tauzin, Billy (R-La)",House,"$1,000",2002
"Upton, Fred (R-Mich)",House,"$1,000",2002
"Barton, Bradley Linus (R-Texas)",House,$500,2002
"Cantwell, Maria (D-Wash)",Senate,$500,2002
"Pitts, Joe (R-Pa)",House,$500,2002
"Watson, Diane E (D-Calif)",House,$500,2002
"Wyden, Ron (D-Ore)",Senate,$500,2002
"Bayh, Evan (D-Ind)",Senate,$250,2002
"Morella, Connie (R-Md)",House,$250,2002
"Kerry, John (D-MA)",Senate,"$45,750",2004
"Bush, George W (R)",Pres,"$20,700",2004
"Lieberman, Joe (D-CT)",Senate,"$4,500",2004
"Schumer, Charles E (D-NY)",Senate,"$4,000",2004
"Specter, Arlen (R-PA)",Senate,"$4,000",2004
"Davis, Tom (R-VA)",House,"$3,500",2004
"Boucher, Rick (D-VA)",House,"$3,250",2004
"Dean, Howard (D)",Pres,"$3,200",2004
"Barton, Joe (R-TX)",House,"$3,000",2004
"Cannon, Chris (R-UT)",House,"$3,000",2004
"Daschle, Tom (D-SD)",Senate,"$3,000",2004
"Dreier, David (R-CA)",House,"$3,000",2004
"Lofgren, Zoe (D-CA)",House,"$3,000",2004
"Hastert, Dennis (R-IL)",House,"$2,250",2004
"Boxer, Barbara (D-CA)",Senate,"$2,000",2004
"Brownback, Sam (R-KS)",Senate,"$2,000",2004
"Coburn, Tom (R-OK)",Senate,"$2,000",2004
"DeLay, Tom (R-TX)",House,"$2,000",2004
"Dingell, John D (D-MI)",House,"$2,000",2004
"Eshoo, Anna (D-CA)",House,"$2,000",2004
"Issa, Darrell (R-CA)",House,"$2,000",2004
"Jones, Bill (R-CA)",Senate,"$2,000",2004
"Martinez, Mel (R-FL)",Senate,"$2,000",2004
"Menendez, Robert (D-NJ)",House,"$2,000",2004
"Nethercutt, George R Jr (R-WA)",House,"$2,000",2004
"Obama, Barack (D-IL)",Senate,"$2,000",2004
"Pickering, Charles (Chip) Jr (R-MS)",House,"$2,000",2004
"Putnam, Adam H (R-FL)",House,"$2,000",2004
"Reid, Harry (D-NV)",Senate,"$2,000",2004
"Thune, John (R-SD)",Senate,"$2,000",2004
"Vitter, David (R-LA)",House,"$2,000",2004
"Wyden, Ron (D-OR)",Senate,"$2,000",2004
"Boustany, Charles Jr (R-LA)",House,"$1,750",2004
"Tauzin, Billy III (R-LA)",House,"$1,750",2004
"Cox, Christopher (R-CA)",House,"$1,500",2004
