Recipient,Office,Contributions(Total),Cycle
"Kerry, John (D-MA)",Senate,$250,2004
"McCain, John (R-AZ)",Senate,"$4,600",2008
"Obama, Barack (D-IL)",Senate,"$3,450",2008
"Clinton, Hillary (D-NY)",Senate,$750,2008
"Paul, Ron (R-TX)",House,$200,2008
"Obama, Barack (D)",Pres,"$3,650",2012
"Graves, Jim (D-MN)",House,"$1,000",2012
"Warren, Elizabeth (D-MA)",Senate,$750,2012
"Romney, Mitt (R)",Pres,$500,2012
"Bachmann, Michele (R-MN)",House,$250,2012
"Brown, Sherrod (D-OH)",Senate,$250,2012
"Poetter, Tom (D-OH)",House,"$1,000",2014
"Clements, Paul (D-MI)",House,$500,2014
"Honda, Mike (D-CA)",House,$350,2014
"Hirono, Mazie K (D-HI)",Senate,$250,2014
"Khanna, Ro (D-CA)",House,$250,2014
"Clinton, Hillary (D)",Pres,"$40,912",2016
"McCain, John (R-AZ)",Senate,"$21,200",2016
"Holding, George (R-NC)",House,"$10,000",2016
"Reed, Tom (R-NY)",House,"$10,000",2016
"Sanders, Bernie (D-VT)",Senate,"$8,807",2016
"Thune, John (R-SD)",Senate,"$7,500",2016
"Burr, Richard (R-NC)",Senate,"$7,000",2016
"Heinrich, Martin (D-NM)",Senate,"$7,000",2016
"Heller, Dean (R-NV)",Senate,"$6,000",2016
"Titus, Dina (D-NV)",House,"$6,000",2016
"Van Hollen, Chris (D-MD)",House,"$6,000",2016
"Carroll, Morgan (D-CO)",House,"$5,903",2016
"Kaine, Tim (D-VA)",Senate,"$5,500",2016
"McGinty, Katie (D-PA)",Senate,"$5,211",2016
"Meehan, Patrick (R-PA)",House,"$5,060",2016
"Ayotte, Kelly (R-NH)",Senate,"$5,000",2016
"Gardner, Cory (R-CO)",Senate,"$5,000",2016
"Schatz, Brian (D-HI)",Senate,"$5,000",2016
"Schumer, Charles E (D-NY)",Senate,"$5,000",2016
"Gabbard, Tulsi (D-HI)",House,"$4,000",2016
"Khanna, Ro (D-CA)",House,"$3,950",2016
"Higgins, Brian M (D-NY)",House,"$3,500",2016
