Recipient,Office,Contributions(Total),Cycle
"Hutchison, Kay Bailey (R-TX)",Senate,"$5,000",1998
"Sessions, Pete (R-TX)",House,"$3,000",1998
"Reed, Thomas Anselin (D-TX)",House,"$1,000",1998
"Doggett, Lloyd (D-TX)",House,$650,1998
"Bliley, Thomas J Jr (R-VA)",House,$500,1998
"Bonilla, Henry (R-TX)",House,$500,1998
"Cullen, Joe (D-PA)",House,$500,1998
"Fong, Matt (R-CA)",Senate,$500,1998
"Smith, Linda (R-WA)",House,$200,1998
"Bush, George W (R)",Pres,"$43,985",2000
"Gore, Al (D)",Pres,"$15,500",2000
"Hutchison, Kay Bailey (R-TX)",Senate,"$8,750",2000
"Robb, Charles S (D-VA)",Senate,"$5,000",2000
"Doggett, Lloyd (D-TX)",House,"$4,500",2000
"Smith, Lamar (R-TX)",House,"$4,250",2000
"Dole, Elizabeth (R)",Pres,"$4,000",2000
"Santorum, Rick (R-PA)",Senate,"$4,000",2000
"Schweitzer, Brian (D-MT)",Senate,"$4,000",2000
"Rogan, James E (R-CA)",House,"$3,500",2000
"Coleman, Christopher Brien (D-MN)",House,"$3,150",2000
"Abraham, Spencer (R-MI)",Senate,"$3,000",2000
"Ashcroft, John (R-MO)",Senate,"$3,000",2000
"Bryant, Ed (R-TN)",House,"$3,000",2000
"Clinton, Hillary (D-NY)",Senate,"$3,000",2000
"Frist, Bill (R-TN)",Senate,"$3,000",2000
"Grams, Rod (R-MN)",Senate,"$3,000",2000
"Bingaman, Jeff (D-NM)",Senate,"$2,000",2000
"Frost, Martin (D-TX)",House,"$2,000",2000
"Granger, Kay (R-TX)",House,"$2,000",2000
"Nelson, Bill (D-FL)",Senate,"$2,000",2000
"Reid, Harry (D-NV)",Senate,"$2,000",2000
"Stabenow, Debbie (D-MI)",House,"$2,000",2000
"Brady, Kevin (R-TX)",House,"$1,500",2000
"Dunn, Jennifer (R-WA)",House,"$1,500",2000
"Howell, Carla (L-MA)",Senate,"$1,500",2000
"Lott, Trent (R-MS)",Senate,"$1,500",2000
"Oxley, Michael G (R-OH)",House,"$1,500",2000
"Roth, William V Jr (R-DE)",Senate,"$1,500",2000
"Sessions, Pete (R-TX)",House,"$1,500",2000
"Tauzin, Billy (R-LA)",House,"$1,500",2000
"Barton, Joe (R-TX)",House,"$1,000",2000
"Bonilla, Henry (R-TX)",House,"$1,000",2000
"Combest, Larry (R-TX)",House,"$1,000",2000
"Dingell, John D (D-MI)",House,"$1,000",2000
"Fletcher, Ernie (R-KY)",House,"$1,000",2000
"Giuliani, Rudolph W (R-NY)",Senate,"$1,000",2000
"Gramm, Phil (R-TX)",Senate,"$1,000",2000
"Hall, Ralph (D-TX)",House,"$1,000",2000
"Payne, Donald M (D-NJ)",House,"$1,000",2000
