Recipient,Office,Contributions(Total),Cycle
"Leahy, Patrick (D-VT)",Senate,"$2,000",1998
"Gorton, Slade (R-WA)",Senate,"$4,000",2000
"Abraham, Spencer (R-MI)",Senate,"$3,000",2000
"Conyers, John Jr (D-MI)",House,"$3,000",2000
"Bradley, Bill (D)",Pres,"$2,750",2000
"Cantwell, Maria (D-WA)",Senate,"$2,750",2000
"Gore, Al (D)",Pres,"$2,500",2000
"Nader, Ralph (3)",Pres,"$2,250",2000
"Senn, Deborah (D-WA)",Senate,"$2,150",2000
"Behrens-Benedict, Heidi (D-WA)",House,"$1,500",2000
"Ashcroft, John (R-MO)",Senate,"$1,000",2000
"Burns, Conrad (R-MT)",Senate,"$1,000",2000
"Byrum, Dianne Yvonne (D-MI)",House,"$1,000",2000
"DeWine, Mike (R-OH)",Senate,"$1,000",2000
"Dicks, Norm (D-WA)",House,"$1,000",2000
"Feinstein, Dianne (D-CA)",Senate,"$1,000",2000
"Frist, Bill (R-TN)",Senate,"$1,000",2000
"Hatch, Orrin G (R-UT)",Senate,"$1,000",2000
"Hutchison, Kay Bailey (R-TX)",Senate,"$1,000",2000
"Inslee, Jay R (D-WA)",House,"$1,000",2000
"Roth, William V Jr (R-DE)",Senate,"$1,000",2000
"Wynn, Albert R (D-MD)",House,"$1,000",2000
"McCain, John (R-AZ)",Senate,$750,2000
"Davis, Thomas James (D-WA)",House,$500,2000
"Kelleher, F Michael Jr (D-IL)",House,$500,2000
"Browne, Harry (L)",Pres,$250,2000
"Keefe, Thomas P Jr (D-WA)",House,$250,2000
"Murray, Patty (D-WA)",Senate,$250,2000
"Cantwell, Maria (D-Wash)",Senate,"$6,000",2002
"Inslee, Jay R (D-Wash)",House,"$3,000",2002
"Boucher, Rick (D-Va)",House,"$2,526",2002
"Murray, Patty (D-Wash)",Senate,"$2,300",2002
"Bass, Charles (R-NH)",House,"$1,000",2002
"Bradbury, Bill (D-Ore)",Senate,"$1,000",2002
"Cox, Christopher (R-Calif)",House,"$1,000",2002
"Dole, Elizabeth (R-NC)",Senate,"$1,000",2002
"Dorgan, Byron L (D-ND)",Senate,"$1,000",2002
"Goodlatte, Bob (R-Va)",House,"$1,000",2002
"John, Chris (D-La)",House,"$1,000",2002
"Johnson, Tim (D-SD)",Senate,"$1,000",2002
"Larsen, Rick (D-Wash)",House,"$1,000",2002
"Lofgren, Zoe (D-Calif)",House,"$1,000",2002
"Shimkus, John M (R-Ill)",House,"$1,000",2002
"Smith, Adam (D-Wash)",House,"$1,000",2002
"Smith, Lamar (R-Texas)",House,"$1,000",2002
"Stearns, Cliff (R-Fla)",House,"$1,000",2002
"Tauzin, Billy (R-La)",House,"$1,000",2002
"Upton, Fred (R-Mich)",House,"$1,000",2002
"Walden, Greg (R-Ore)",House,"$1,000",2002
"Castle, Michael N (R-Del)",House,$500,2002
"Dingell, John D (D-Mich)",House,$500,2002
"Whitfield, Ed (R-Ky)",House,$500,2002
"Kerry, John (D-MA)",Senate,"$27,900",2004
"Murray, Patty (D-WA)",Senate,"$9,350",2004
"Bush, George W (R)",Pres,"$7,450",2004
"Dean, Howard (D)",Pres,"$4,800",2004
"Cannon, Chris (R-UT)",House,"$4,000",2004
"Lieberman, Joe (D-CT)",Senate,"$4,000",2004
"McCain, John (R-AZ)",Senate,"$4,000",2004
"Cox, Christopher (R-CA)",House,"$3,500",2004
