Recipient,Office,Contributions(Total),Cycle
"Murray, Patty (D-WA)",Senate,"$38,551",1998
"Inslee, Jay R (D-WA)",House,"$36,800",1998
"Baird, Brian (D-WA)",House,"$27,447",1998
"White, Rick (R-WA)",House,"$26,697",1998
"Ruderman, Laura (D-WA)",House,"$17,650",1998
"Smith, Adam (D-WA)",House,"$16,300",1998
"McCain, John (R-AZ)",Senate,"$14,750",1998
"Abraham, Spencer (R-MI)",Senate,"$11,750",1998
"Gorton, Slade (R-WA)",Senate,"$11,000",1998
"Cammermeyer, Margarethe (D-WA)",House,"$9,950",1998
"Smith, Linda (R-WA)",House,"$9,705",1998
"Dunn, Jennifer (R-WA)",House,"$8,250",1998
"Behrens-Benedict, Heidi (D-WA)",House,"$7,410",1998
"Faircloth, Lauch (R-NC)",Senate,"$7,000",1998
"Dicks, Norm (D-WA)",House,"$6,500",1998
"Hollings, Fritz (D-SC)",Senate,"$6,000",1998
"Leahy, Patrick (D-VT)",Senate,"$6,000",1998
"Wyden, Ron (D-OR)",Senate,"$6,000",1998
"Tauscher, Ellen (D-CA)",House,"$5,250",1998
"Braun, Carol Moseley (D-IL)",Senate,"$5,200",1998
"Bayley, Christopher T (R-WA)",Senate,"$5,075",1998
"Chabot, Steve (R-OH)",House,"$5,000",1998
"Coverdell, Paul (R-GA)",Senate,"$5,000",1998
"Daschle, Tom (D-SD)",Senate,"$5,000",1998
"D'Amato, Alfonse M (R-NY)",Senate,"$4,750",1998
"Goodlatte, Bob (R-VA)",House,"$4,500",1998
"McDermott, Jim (D-WA)",House,"$4,500",1998
"Gingrich, Newt (R-GA)",House,"$4,250",1998
"Dodd, Chris (D-CT)",Senate,"$4,000",1998
"Johnson, Nancy L (R-CT)",House,"$4,000",1998
"Boxer, Barbara (D-CA)",Senate,"$3,850",1998
"Bordonaro, Molly H (R-OR)",House,"$3,500",1998
"Hastings, Doc (R-WA)",House,"$3,500",1998
"Nethercutt, George R Jr (R-WA)",House,"$3,500",1998
"Brownback, Sam (R-KS)",Senate,"$3,000",1998
"Burns, Conrad (R-MT)",Senate,"$3,000",1998
"Gephardt, Richard A (D-MO)",House,"$3,000",1998
"Redmond, Bill (R-NM)",House,"$3,000",1998
"Tauzin, Billy (R-LA)",House,"$3,000",1998
"Wilson, Heather A (R-NM)",House,"$2,750",1998
"Bliley, Thomas J Jr (R-VA)",House,"$2,500",1998
"Boyle, Mary O (D-OH)",Senate,"$2,500",1998
"Crapo, Mike (R-ID)",House,"$2,500",1998
"Dorgan, Byron L (D-ND)",Senate,"$2,500",1998
"Frank, Barney (D-MA)",House,"$2,500",1998
"Gejdenson, Sam (D-CT)",House,"$2,500",1998
"Hooley, Darlene (D-OR)",House,"$2,500",1998
"Hyde, Henry J (R-IL)",House,"$2,500",1998
"Kasich, John (R-OH)",House,"$2,500",1998
"McIntosh, David M (R-IN)",House,"$2,500",1998
"Metcalf, Jack (R-WA)",House,"$2,500",1998
"Sanchez, Loretta (D-CA)",House,"$2,500",1998
"Schumer, Charles E (D-NY)",House,"$2,500",1998
"Specter, Arlen (R-PA)",Senate,"$2,500",1998
"Watt, Melvin L (D-NC)",House,"$2,200",1998
"Coble, Howard (R-NC)",House,"$2,000",1998
"Dooley, Cal (D-CA)",House,"$2,000",1998
"Evans, Lane (D-IL)",House,"$2,000",1998
"Fong, Matt (R-CA)",Senate,"$2,000",1998
"Jefferson, William J (D-LA)",House,"$2,000",1998
"Kerrey, Bob (D-NE)",Senate,"$2,000",1998
"Levin, Sander (D-MI)",House,"$2,000",1998
"Matsui, Robert T (D-CA)",House,"$2,000",1998
"Pease, Ed (R-IN)",House,"$2,000",1998
"Thomas, Bill (R-CA)",House,"$2,000",1998
"Baldwin, Tammy (D-WI)",House,"$1,500",1998
"Boehner, John (R-OH)",House,"$1,500",1998
"Cannon, Chris (R-UT)",House,"$1,500",1998
"Cox, Christopher (R-CA)",House,"$1,500",1998
"Hulshof, Kenny (R-MO)",House,"$1,500",1998
"Lincoln, Blanche (D-AR)",Senate,"$1,500",1998
"Schakowsky, Jan (D-IL)",House,"$1,500",1998
"Sessions, Pete (R-TX)",House,"$1,500",1998
"Shuster, Bud (R-PA)",House,"$1,500",1998
"Barton, Joe (R-TX)",House,"$1,000",1998
"Baucus, Max (D-MT)",Senate,"$1,000",1998
"Bayh, Evan (D-IN)",Senate,"$1,000",1998
"Bennett, Robert F (R-UT)",Senate,"$1,000",1998
"Bilbray, Brian P (R-CA)",House,"$1,000",1998
"Bond, Christopher ""Kit"" (R-MO)",Senate,"$1,000",1998
"Boucher, Rick (D-VA)",House,"$1,000",1998
"Breaux, John (D-LA)",Senate,"$1,000",1998
"Browne, Harry (L)",Pres,"$1,000",1998
"Campbell, Ben Nighthorse (R-CO)",Senate,"$1,000",1998
"Conyers, John Jr (D-MI)",House,"$1,000",1998
"Crane, Phil (R-IL)",House,"$1,000",1998
"Cubin, Barbara (R-WY)",House,"$1,000",1998
"Davis, Tom (R-VA)",House,"$1,000",1998
"DeLay, Tom (R-TX)",House,"$1,000",1998
"Deutsch, Peter (D-FL)",House,"$1,000",1998
"DeWine, Mike (R-OH)",Senate,"$1,000",1998
"Dingell, John D (D-MI)",House,"$1,000",1998
"Etheridge, Bob (D-NC)",House,"$1,000",1998
"Fitzgerald, Peter G (R-IL)",Senate,"$1,000",1998
"Gordon, Bart (D-TN)",House,"$1,000",1998
"Graham, Bob (D-FL)",Senate,"$1,000",1998
"Grassley, Chuck (R-IA)",Senate,"$1,000",1998
"Gregg, Judd (R-NH)",Senate,"$1,000",1998
"Hagel, Chuck (R-NE)",Senate,"$1,000",1998
"Hastert, Dennis (R-IL)",House,"$1,000",1998
"Herger, Wally (R-CA)",House,"$1,000",1998
"Jenkins, Bill (R-TN)",House,"$1,000",1998
"Johnson, Eddie Bernice (D-TX)",House,"$1,000",1998
"Katz, Melinda R (3-NY)",House,"$1,000",1998
"Kolbe, Jim (R-AZ)",House,"$1,000",1998
"Kvistad, Jon (R-OR)",House,"$1,000",1998
"Kyl, Jon (R-AZ)",Senate,"$1,000",1998
"Lamm, Dorothy V (D-CO)",Senate,"$1,000",1998
"Largent, Steve (R-OK)",House,"$1,000",1998
"Lazio, Rick A (R-NY)",House,"$1,000",1998
"Lieberman, Joe (D-CT)",Senate,"$1,000",1998
"Linder, John (R-GA)",House,"$1,000",1998
"Lofgren, Zoe (D-CA)",House,"$1,000",1998
"Lott, Trent (R-MS)",Senate,"$1,000",1998
"Lugar, Richard G (R-IN)",Senate,"$1,000",1998
"Mack, Connie (R-FL)",Senate,"$1,000",1998
"McConnell, Mitch (R-KY)",Senate,"$1,000",1998
"McInnis, Scott (R-CO)",House,"$1,000",1998
"Moynihan, Daniel Patrick (D-NY)",Senate,"$1,000",1998
"Murkowski, Frank H (R-AK)",Senate,"$1,000",1998
"Nickles, Don (R-OK)",Senate,"$1,000",1998
"Reed, Jack (D-RI)",Senate,"$1,000",1998
"Rogan, James E (R-CA)",House,"$1,000",1998
"Rogan, Mary M (R-PA)",House,"$1,000",1998
"Roth, William V Jr (R-DE)",Senate,"$1,000",1998
"Ryan, Paul (R-WI)",House,"$1,000",1998
"Saxton, Jim (R-NJ)",House,"$1,000",1998
"Smith, Lamar (R-TX)",House,"$1,000",1998
"Stevens, Ted (R-AK)",Senate,"$1,000",1998
