Recipient,Office,Contributions(Total),Cycle
"Golding, Susan (R-CA)",Senate,"$13,000",1998
"Fong, Matt (R-CA)",Senate,"$9,250",1998
"Campbell, Tom (R-CA)",House,"$6,000",1998
"Lofgren, Zoe (D-CA)",House,"$4,750",1998
"Eshoo, Anna (D-CA)",House,"$4,250",1998
"Hatch, Orrin G (R-UT)",Senate,"$4,000",1998
"White, Rick (R-WA)",House,"$3,000",1998
"Wyden, Ron (D-OR)",Senate,"$3,000",1998
"Cox, Christopher (R-CA)",House,"$2,000",1998
"D'Amato, Alfonse M (R-NY)",Senate,"$2,000",1998
"Boxer, Barbara (D-CA)",Senate,"$1,750",1998
"Capps, Lois (D-CA)",House,"$1,500",1998
"Burns, Conrad (R-MT)",Senate,"$1,000",1998
"Dodd, Chris (D-CT)",Senate,"$1,000",1998
"Feinstein, Dianne (D-CA)",Senate,"$1,000",1998
"Hoffman, Randy D (R-CA)",House,"$1,000",1998
"Kerry, John (D-MA)",Senate,"$1,000",1998
"Leahy, Patrick (D-VT)",Senate,"$1,000",1998
"Taylor, Mike (D-NC)",House,"$1,000",1998
"Boucher, Rick (D-VA)",House,$500,1998
"Tauscher, Ellen (D-CA)",House,$500,1998
"Tauzin, Billy (R-LA)",House,$500,1998
"Ball, Charles Jokl (R-CA)",House,$370,1998
"Bliley, Thomas J Jr (R-VA)",House,$250,1998
"Browne, Harry (L)",Pres,$250,1998
"Fitzgerald, Peter G (R-IL)",Senate,$250,1998
"Izzard, Rudy (R-TX)",House,$250,1998
"Roskam, Peter (R-IL)",House,$250,1998
"Salvi, Albert (R-IL)",Senate,$250,1998
"Tracy, Susan M (D-MA)",House,$250,1998
"Gore, Al (D)",Pres,"$33,250",2000
"Bush, George W (R)",Pres,"$29,250",2000
"Abraham, Spencer (R-MI)",Senate,"$24,500",2000
"Cunneen, James F (R-CA)",House,"$18,500",2000
"Schumer, Charles E (D-NY)",Senate,"$18,000",2000
"Feinstein, Dianne (D-CA)",Senate,"$16,980",2000
"Lofgren, Zoe (D-CA)",House,"$16,400",2000
"Campbell, Tom (R-CA)",House,"$15,950",2000
"Eshoo, Anna (D-CA)",House,"$11,000",2000
"Bradley, Bill (D)",Pres,"$7,700",2000
"Wu, David (D-OR)",House,"$6,000",2000
"Dooley, Cal (D-CA)",House,"$5,000",2000
"Lieberman, Joe (D-CT)",Senate,"$5,000",2000
"Goodlatte, Bob (R-VA)",House,"$4,000",2000
"Howell, Carla (L-MA)",Senate,"$3,750",2000
"McCain, John (R-AZ)",Senate,"$3,050",2000
"Browne, Harry (L)",Pres,"$3,000",2000
"Snowe, Olympia (R-ME)",Senate,"$3,000",2000
"Clinton, Hillary (D-NY)",Senate,"$2,900",2000
"Hooley, Darlene (D-OR)",House,"$2,900",2000
"Honda, Mike (D-CA)",House,"$2,500",2000
"Taylor, Mike (D-NC)",House,"$2,250",2000
"Bauer, Gary (R)",Pres,"$2,000",2000
"Bayh, Evan (D-IN)",Senate,"$2,000",2000
"Bingaman, Jeff (D-NM)",Senate,"$2,000",2000
"Carper, Tom (D-DE)",Senate,"$2,000",2000
"Dodd, Chris (D-CT)",Senate,"$2,000",2000
"Giuliani, Rudolph W (R-NY)",Senate,"$2,000",2000
"Hatch, Orrin G (R-UT)",Senate,"$2,000",2000
"Kerry, John (D-MA)",Senate,"$2,000",2000
"Smith, Gordon H (R-OR)",Senate,"$2,000",2000
"Burns, Conrad (R-MT)",Senate,"$1,500",2000
"Conrad, Kent (D-ND)",Senate,"$1,500",2000
"Rogan, James E (R-CA)",House,"$1,450",2000
"Boucher, Rick (D-VA)",House,"$1,250",2000
"Robb, Charles S (D-VA)",Senate,"$1,250",2000
"Alexander, Lamar (R)",Pres,"$1,000",2000
"Allen, George (R-VA)",Senate,"$1,000",2000
"Armey, Dick (R-TX)",House,"$1,000",2000
"Ashcroft, John (R-MO)",Senate,"$1,000",2000
"Gejdenson, Sam (D-CT)",House,"$1,000",2000
"Harman, Jane (D-CA)",House,"$1,000",2000
"Kerrey, Bob (D-NE)",Senate,"$1,000",2000
"Matheson, Jim (D-UT)",House,"$1,000",2000
"Mattingly, Mack (R-GA)",Senate,"$1,000",2000
"Nader, Ralph (3)",Pres,"$1,000",2000
"Paul, Ron (R-TX)",House,"$1,000",2000
"Capps, Lois (D-CA)",House,$800,2000
"Brown, Sherrod (D-OH)",House,$750,2000
"Buchanan, Pat (3)",Pres,$500,2000
"Dunn, Jennifer (R-WA)",House,$500,2000
"Euchner, David J (L-MA)",House,$500,2000
"Haynes, Doug (R-NC)",House,$500,2000
"Keenan, Nancy (D-MT)",House,$500,2000
"McCollum, Bill (R-FL)",House,$500,2000
"Moran, Jim (D-VA)",House,$500,2000
"Regula, Ralph (R-OH)",House,$500,2000
"Casey, Patrick (D-PA)",House,$300,2000
"Ward, Jess (R-NC)",House,$300,2000
"Ferguson, Mike (R-NJ)",House,$265,2000
"Brown, Jean Elliott (D-FL)",House,$250,2000
"Davis, Tom (R-VA)",House,$250,2000
"Dole, Elizabeth (R)",Pres,$250,2000
"Harris, Bruce C (D-AR)",House,$250,2000
"Hutchison, Claude B Jr (R-CA)",House,$250,2000
"Johnson, Joan B (R-NY)",House,$250,2000
"Keyes, Alan (R)",Pres,$250,2000
"Lazio, Rick A (R-NY)",House,$250,2000
"Levin, Susan Bass (D-NJ)",House,$250,2000
"Lugar, Richard G (R-IN)",Senate,$250,2000
"Morella, Connie (R-MD)",House,$250,2000
"Shows, Ronnie (D-MS)",House,$250,2000
"Smith, Adam (D-WA)",House,$250,2000
"Stabenow, Debbie (D-MI)",House,$250,2000
"Tauscher, Ellen (D-CA)",House,$250,2000
"Stark, Pete (D-CA)",House,$200,2000
"Coverdell, Paul (R-GA)",Senate,"$-1,000",2000
"Daschle, Tom (D-SD)",Senate,"$11,000",2002
"Eshoo, Anna (D-Calif)",House,"$6,000",2002
"Honda, Mike (D-Calif)",House,"$5,200",2002
"Gephardt, Richard A (D-Mo)",House,"$5,000",2002
"Tauzin, Billy (R-La)",House,"$5,000",2002
"Lofgren, Zoe (D-Calif)",House,"$3,201",2002
"Bowles, Erskine B (D-NC)",Senate,"$3,000",2002
"Wu, David (D-Ore)",House,"$2,500",2002
"Hilliard, Earl F (D-Ala)",House,"$2,200",2002
"Boxer, Barbara (D-Calif)",Senate,"$2,000",2002
"Carnahan, Jean (D-Mo)",Senate,"$2,000",2002
"Cornyn, John (R-Texas)",Senate,"$2,000",2002
"Dingell, John D (D-Mich)",House,"$2,000",2002
"Dooley, Cal (D-Calif)",House,"$2,000",2002
"Dunn, Jennifer (R-Wash)",House,"$2,000",2002
"Enzi, Mike (R-Wyo)",Senate,"$2,000",2002
"Goodlatte, Bob (R-Va)",House,"$2,000",2002
"Gutknecht, Gil (R-Minn)",House,"$2,000",2002
"Hooley, Darlene (D-Ore)",House,"$2,000",2002
"Morella, Connie (R-Md)",House,"$2,000",2002
"Pelosi, Nancy (D-Calif)",House,"$2,000",2002
"Pryor, Mark (D-Ark)",Senate,"$2,000",2002
"Shaheen, Jeanne (D-NH)",Senate,"$2,000",2002
"Upton, Fred (R-Mich)",House,"$2,000",2002
"McKinney, Cynthia (D-Ga)",House,"$1,900",2002
"Miller, Brad (D-NC)",House,"$1,750",2002
"Hensarling, Jeb (R-Texas)",House,"$1,250",2002
"Kerry, John (D-Mass)",Senate,"$1,250",2002
"Sanchez, Loretta (D-Calif)",House,"$1,250",2002
"Tauscher, Ellen (D-Calif)",House,"$1,250",2002
"Allen, George (R-Va)",Senate,"$1,000",2002
"Baucus, Max (D-Mont)",Senate,"$1,000",2002
"Breaux, John (D-La)",Senate,"$1,000",2002
"Cantwell, Maria (D-Wash)",Senate,"$1,000",2002
"Darden, Buddy (D-Ga)",House,"$1,000",2002
"Davis, Tom (R-Va)",House,"$1,000",2002
"Dreier, David (R-Calif)",House,"$1,000",2002
"Ferguson, Mike (R-NJ)",House,"$1,000",2002
"Frist, Bill (R-Tenn)",Senate,"$1,000",2002
"John, Chris (D-La)",House,"$1,000",2002
"Lieberman, Joe (D-Conn)",Senate,"$1,000",2002
"Markey, Ed (D-Mass)",House,"$1,000",2002
"Murray, Patty (D-Wash)",Senate,"$1,000",2002
"Oxley, Michael G (R-Ohio)",House,"$1,000",2002
"Pickering, Charles (Chip) Jr (R-Miss)",House,"$1,000",2002
"Schumer, Charles E (D-NY)",Senate,"$1,000",2002
"Smith, Adam (D-Wash)",House,"$1,000",2002
"Smith, Gordon H (R-Ore)",Senate,"$1,000",2002
"Johnson, Tim (D-SD)",Senate,$750,2002
"Reed, Jack (D-RI)",Senate,$600,2002
"Abu-Ghazalah, Maad (L-Calif)",House,$500,2002
"Harman, Jane (D-Calif)",House,$500,2002
"Hayes, Robin (R-NC)",House,$500,2002
"Hollings, Fritz (D-SC)",Senate,$500,2002
"Kane, Timothy Joseph (R-Calif)",House,$500,2002
"Mica, John L (R-Fla)",House,$500,2002
"Price, David (D-NC)",House,$500,2002
"Shows, Ronnie (D-Miss)",House,$500,2002
"Thune, John (R-SD)",House,$500,2002
"Coleman, Norm (R-Minn)",Senate,$300,2002
"Torricelli, Robert G (D-NJ)",Senate,$300,2002
"Kaszak, Nancy (D-Ill)",House,$250,2002
"Kelly, Sue (R-NY)",House,$250,2002
"Lugar, Richard G (R-Ind)",Senate,$250,2002
"Miles, Mike (D-Colo)",Senate,$250,2002
"Ford, Harold E Jr (D-Tenn)",House,$225,2002
"Mahmood, Syed R (R-Calif)",House,$200,2002
"Kerry, John (D-MA)",Senate,"$125,675",2004
