Recipient,Office,Contributions(Total),Cycle
"Fong, Matt (R-CA)",Senate,"$9,000",1998
"Bordonaro, Molly H (R-OR)",House,"$6,223",1998
"Wilson, Heather A (R-NM)",House,"$5,276",1998
"Hayworth, J D (R-AZ)",House,"$5,200",1998
"Boxer, Barbara (D-CA)",Senate,"$4,500",1998
"D'Amato, Alfonse M (R-NY)",Senate,"$4,226",1998
"Redmond, Bill (R-NM)",House,"$4,000",1998
"White, Rick (R-WA)",House,"$4,000",1998
"Wyden, Ron (D-OR)",Senate,"$3,750",1998
"McCain, John (R-AZ)",Senate,"$3,100",1998
"Abraham, Spencer (R-MI)",Senate,"$3,000",1998
"Kennedy, Patrick J (D-RI)",House,"$3,000",1998
"Hooley, Darlene (D-OR)",House,"$2,500",1998
"Lofgren, Zoe (D-CA)",House,"$2,103",1998
"Bliley, Thomas J Jr (R-VA)",House,"$2,000",1998
"Campbell, Tom (R-CA)",House,"$2,000",1998
"Daschle, Tom (D-SD)",Senate,"$2,000",1998
"Dodd, Chris (D-CT)",Senate,"$2,000",1998
"Eshoo, Anna (D-CA)",House,"$2,000",1998
"Faircloth, Lauch (R-NC)",Senate,"$2,000",1998
"Fitzgerald, Peter G (R-IL)",Senate,"$2,000",1998
"Gephardt, Richard A (D-MO)",House,"$2,000",1998
"Sanchez, Loretta (D-CA)",House,"$2,000",1998
"Schumer, Charles E (D-NY)",House,"$2,000",1998
"Dunn, Jennifer (R-WA)",House,"$1,500",1998
"Ryan, Paul (R-WI)",House,"$1,500",1998
"Smith, Adam (D-WA)",House,"$1,500",1998
"Salmon, Matt (R-AZ)",House,"$1,250",1998
"Tauscher, Ellen (D-CA)",House,"$1,250",1998
"Granger, Kay (R-TX)",House,"$1,050",1998
"Bennett, Robert F (R-UT)",Senate,"$1,000",1998
"Bond, Christopher ""Kit"" (R-MO)",Senate,"$1,000",1998
"Bunning, Jim (R-KY)",House,"$1,000",1998
"Cannon, Chris (R-UT)",House,"$1,000",1998
"Capps, Lois (D-CA)",House,"$1,000",1998
"DeWine, Mike (R-OH)",Senate,"$1,000",1998
"Dreier, David (R-CA)",House,"$1,000",1998
"Gingrich, Newt (R-GA)",House,"$1,000",1998
"Goodlatte, Bob (R-VA)",House,"$1,000",1998
"Grassley, Chuck (R-IA)",Senate,"$1,000",1998
"Hatch, Orrin G (R-UT)",Senate,"$1,000",1998
"Hollings, Fritz (D-SC)",Senate,"$1,000",1998
