Recipient,Office,Contributions(Total),Cycle
"Torkildsen, Peter G (R-MA)",House,"$10,500",1998
"Kasich, John (R-OH)",House,"$9,000",1998
"Amorello, Matthew J (R-MA)",House,"$8,500",1998
"Meehan, Marty (D-MA)",House,"$8,000",1998
"Frist, Bill (R-TN)",Senate,"$4,000",1998
"Gregg, Judd (R-NH)",Senate,"$4,000",1998
"Voinovich, George V (R-OH)",Senate,"$2,000",1998
"Wyrick, Phillip (R-AR)",House,"$2,000",1998
"Franks, Gary A (R-CT)",Senate,"$1,000",1998
"Hayworth, J D (R-AZ)",House,"$1,000",1998
"Kerry, John (D-MA)",Senate,"$1,000",1998
"Watkins, Wes (R-OK)",House,"$1,000",1998
"Armey, Dick (R-TX)",House,$500,1998
"Wamp, Zach (R-TN)",House,$500,1998
"Cox, Christopher (R-CA)",House,$350,1998
"Wilson, Pete (R)",Pres,"$-2,000",1998
"Bush, George W (R)",Pres,"$28,000",2000
"McCain, John (R-AZ)",Senate,"$10,750",2000
"Kasich, John (R-OH)",House,"$5,500",2000
"Rogan, James E (R-CA)",House,"$5,100",2000
"Howell, Carla (L-MA)",Senate,"$4,750",2000
"Abraham, Spencer (R-MI)",Senate,"$4,000",2000
"Allen, George (R-VA)",Senate,"$4,000",2000
"Capuano, Michael E (D-MA)",House,"$4,000",2000
"Shaw, E Clay Jr (R-FL)",House,"$4,000",2000
"Chafee, Lincoln (R-RI)",Senate,"$3,000",2000
"Giuliani, Rudolph W (R-NY)",Senate,"$3,000",2000
"Koster, John (R-WA)",House,"$3,000",2000
"Lazio, Rick A (R-NY)",House,"$3,000",2000
"Moakley, Joe (D-MA)",House,"$3,000",2000
"Rogers, Mike (R-MI)",House,"$3,000",2000
"Abair, Peter Jon (R-MA)",House,"$2,500",2000
"Armey, Dick (R-TX)",House,"$2,000",2000
"Ashcroft, John (R-MO)",Senate,"$2,000",2000
"Dickey, Jay (R-AR)",House,"$2,000",2000
"Fletcher, Ernie (R-KY)",House,"$2,000",2000
"Golder, Frederick T (R-MA)",House,"$2,000",2000
"Greenleaf, Stewart J (R-PA)",House,"$2,000",2000
"Hostettler, John (R-IN)",House,"$2,000",2000
"Kerry, John (D-MA)",Senate,"$2,000",2000
"Kirk, Mark (R-IL)",House,"$2,000",2000
"Kuykendall, Steven T (R-CA)",House,"$2,000",2000
"McCarthy, Paul (R-MA)",House,"$2,000",2000
"Meehan, Marty (D-MA)",House,"$2,000",2000
"Rehberg, Denny (R-MT)",House,"$2,000",2000
"Roth, William V Jr (R-DE)",Senate,"$2,000",2000
"Zimmer, Dick (R-NJ)",House,"$2,000",2000
"Gore, Al (D)",Pres,"$1,500",2000
"Smith, Bob (R-NH)",Senate,"$1,500",2000
"Bass, Charles (R-NH)",House,"$1,000",2000
"Bradley, Bill (D)",Pres,"$1,000",2000
"Clinton, Hillary (D-NY)",Senate,"$1,000",2000
"Cox, Christopher (R-CA)",House,"$1,000",2000
"Ensign, John (R-NV)",Senate,"$1,000",2000
"Federer, Bill (R-MO)",House,"$1,000",2000
"LaRouche, Lyndon H Jr (D)",Pres,"$1,000",2000
"Lugar, Richard G (R-IN)",Senate,"$1,000",2000
