Recipient,Office,Contributions(Total),Cycle
"Carper, Tom (D-DE)",Senate,"$1,000",2006
"Bayh, Evan (D-IN)",Senate,$500,2006
"Obama, Barack (D-IL)",Senate,"$35,500",2008
"Clinton, Hillary (D-NY)",Senate,"$7,900",2008
"Martin, James Francis (D-GA)",Senate,"$2,300",2008
"Landrieu, Mary L (D-LA)",Senate,"$2,000",2008
"Allen, Tom H (D-ME)",House,$500,2008
"Madia, Ashwin (D-MN)",House,$500,2008
"Shaheen, Jeanne (D-NH)",Senate,$500,2008
"Gravel, Mike (L)",Pres,$255,2008
"Davis, Greg (R-MS)",House,$250,2008
"Franken, Al (D-MN)",Senate,$250,2008
"Romney, Mitt (R)",Pres,$250,2008
"Blumenthal, Richard (D-CT)",Senate,"$4,800",2010
"Gillibrand, Kirsten (D-NY)",Senate,"$3,900",2010
"Busby, Francine P (D-CA)",House,"$2,400",2010
"Coakley, Martha (D-MA)",Senate,"$2,400",2010
"Wyden, Ron (D-OR)",Senate,"$2,400",2010
"Fiorina, Carly (R-CA)",Senate,"$2,000",2010
"Reid, Harry (D-NV)",Senate,"$1,750",2010
"Boxer, Barbara (D-CA)",Senate,"$1,500",2010
"Murray, Patty (D-WA)",Senate,"$1,500",2010
"Case, Ed (D-HI)",House,"$1,000",2010
"Markey, Ed (D-MA)",House,"$1,000",2010
"Smith, Lamar (R-TX)",House,"$1,000",2010
"Yalamanchili, Surya (D-OH)",House,"$1,000",2010
"Goodlatte, Bob (R-VA)",House,$800,2010
"Boucher, Rick (D-VA)",House,$500,2010
"Grassley, Chuck (R-IA)",Senate,$500,2010
"Issa, Darrell (R-CA)",House,$500,2010
"Schumer, Charles E (D-NY)",Senate,$500,2010
"Waxman, Henry (D-CA)",House,$500,2010
"Klobuchar, Amy (D-MN)",Senate,$300,2010
"Rubio, Marco (R-FL)",Senate,$300,2010
"Ryan, Paul (R-WI)",House,$300,2010
"Eshoo, Anna (D-CA)",House,$250,2010
"Lofgren, Zoe (D-CA)",House,$250,2010
"Obama, Barack (D)",Pres,"$-2,200",2010
"Obama, Barack (D)",Pres,"$95,607",2012
"Romney, Mitt (R)",Pres,"$20,100",2012
"Cruz, Ted (R-TX)",Senate,"$15,000",2012
"McCaskill, Claire (D-MO)",Senate,"$14,500",2012
"Eshoo, Anna (D-CA)",House,"$11,000",2012
"Boehner, John (R-OH)",House,"$10,000",2012
"Pelosi, Nancy (D-CA)",House,"$10,000",2012
"Gillibrand, Kirsten (D-NY)",Senate,"$8,500",2012
"Feinstein, Dianne (D-CA)",Senate,"$7,750",2012
"Klobuchar, Amy (D-MN)",Senate,"$7,500",2012
"Paul, Ron (R-TX)",House,"$7,201",2012
"Cantor, Eric (R-VA)",House,"$7,000",2012
"Upton, Fred (R-MI)",House,"$7,000",2012
"Walden, Greg (R-OR)",House,"$7,000",2012
"Bono Mack, Mary (R-CA)",House,"$6,000",2012
"Cornyn, John (R-TX)",Senate,"$5,000",2012
"Hatch, Orrin G (R-UT)",Senate,"$5,000",2012
"Hoyer, Steny H (D-MD)",House,"$5,000",2012
"McCarthy, Kevin (R-CA)",House,"$5,000",2012
"McConnell, Mitch (R-KY)",Senate,"$5,000",2012
"Nelson, Bill (D-FL)",Senate,"$5,000",2012
"Schumer, Charles E (D-NY)",Senate,"$5,000",2012
"Udall, Tom (D-NM)",Senate,"$5,000",2012
"Wicker, Roger (R-MS)",Senate,"$5,000",2012
"Berman, Howard L (D-CA)",House,"$4,000",2012
"Corker, Bob (R-TN)",Senate,"$4,000",2012
"Barrow, John (D-GA)",House,"$3,500",2012
"Cantwell, Maria (D-WA)",Senate,"$3,500",2012
"Carper, Tom (D-DE)",Senate,"$3,500",2012
"Graham, Lindsey (R-SC)",Senate,"$3,500",2012
"Hagan, Kay R (D-NC)",Senate,"$3,500",2012
"Kerry, John (D-MA)",Senate,"$3,500",2012
"Snowe, Olympia (R-ME)",Senate,"$3,500",2012
