Recipient,Office,Contributions(Total),Cycle
"Fong, Matt (R-CA)",Senate,"$5,550",1998
"Williams, Dan (D-ID)",House,"$4,100",1998
"Wyden, Ron (D-OR)",Senate,"$3,750",1998
"Lofgren, Zoe (D-CA)",House,"$3,500",1998
"White, Rick (R-WA)",House,"$3,500",1998
"Eshoo, Anna (D-CA)",House,"$3,250",1998
"Campbell, Tom (R-CA)",House,"$3,200",1998
"Bilbray, Brian P (R-CA)",House,"$3,000",1998
"Simpson, Mike (R-ID)",House,"$3,000",1998
"Cox, Christopher (R-CA)",House,"$2,500",1998
"Murray, Patty (D-WA)",Senate,"$2,500",1998
"Abraham, Spencer (R-MI)",Senate,"$2,000",1998
"Bordonaro, Molly H (R-OR)",House,"$2,000",1998
"Chabot, Steve (R-OH)",House,"$2,000",1998
"D'Amato, Alfonse M (R-NY)",Senate,"$2,000",1998
"Faircloth, Lauch (R-NC)",Senate,"$2,000",1998
"Golding, Susan (R-CA)",Senate,"$2,000",1998
"Kerry, John (D-MA)",Senate,"$2,000",1998
"Kuykendall, Steven T (R-CA)",House,"$2,000",1998
"Lincoln, Blanche (D-AR)",Senate,"$2,000",1998
"Roukema, Marge (R-NJ)",House,"$2,000",1998
"Smith, Gordon H (R-OR)",Senate,"$2,000",1998
"Toomey, Pat (R-PA)",House,"$2,000",1998
"Baker, Mark (R-IL)",House,"$1,500",1998
"Boxer, Barbara (D-CA)",Senate,"$1,500",1998
"Cunningham, Randy (Duke) (R-CA)",House,"$1,500",1998
"Greenlee, Robert D (R-CO)",House,"$1,500",1998
"Nielsen, Mark (R-CT)",House,"$1,500",1998
"Ose, Doug (R-CA)",House,"$1,500",1998
"Boehner, John (R-OH)",House,"$1,475",1998
"Crapo, Mike (R-ID)",House,"$1,250",1998
"Kehoe, Christine (D-CA)",House,"$1,250",1998
"Matsui, Robert T (D-CA)",House,"$1,250",1998
"Schaffer, Bob (R-CO)",House,"$1,050",1998
"Armey, Dick (R-TX)",House,"$1,000",1998
"Baucus, Max (D-MT)",Senate,"$1,000",1998
"Bennett, Robert F (R-UT)",Senate,"$1,000",1998
"Bond, Christopher ""Kit"" (R-MO)",Senate,"$1,000",1998
"Breaux, John (D-LA)",Senate,"$1,000",1998
"Browne, Harry (L)",Pres,"$1,000",1998
"Coverdell, Paul (R-GA)",Senate,"$1,000",1998
"DeLay, Tom (R-TX)",House,"$1,000",1998
"Didrickson, Loleta (R-IL)",Senate,"$1,000",1998
"Dunn, Jennifer (R-WA)",House,"$1,000",1998
"Fitzgerald, Peter G (R-IL)",Senate,"$1,000",1998
"Gingrich, Newt (R-GA)",House,"$1,000",1998
"Green, Mark (R-WI)",House,"$1,000",1998
"Hefley, Joel (R-CO)",House,"$1,000",1998
"Hooley, Darlene (D-OR)",House,"$1,000",1998
"Johnson, Nancy L (R-CT)",House,"$1,000",1998
"Kerrey, Bob (D-NE)",Senate,"$1,000",1998
"Lamm, Dorothy V (D-CO)",Senate,"$1,000",1998
"McCain, John (R-AZ)",Senate,"$1,000",1998
"Morella, Connie (R-MD)",House,"$1,000",1998
"Rogan, James E (R-CA)",House,"$1,000",1998
"Ryan, Paul (R-WI)",House,"$1,000",1998
"Specter, Arlen (R-PA)",Senate,"$1,000",1998
"Stallings, Richard (D-ID)",House,"$1,000",1998
"Tauscher, Ellen (D-CA)",House,"$1,000",1998
"Voinovich, George V (R-OH)",Senate,"$1,000",1998
"Wilson, Heather A (R-NM)",House,"$1,000",1998
"Gejdenson, Sam (D-CT)",House,$750,1998
"Goodlatte, Bob (R-VA)",House,$750,1998
"Thompson, Mike (D-CA)",House,$750,1998
"Wu, David (D-OR)",House,$600,1998
"Reed, Jack (D-RI)",Senate,$550,1998
"Bereuter, Doug (R-NE)",House,$500,1998
"Blumenauer, Earl (D-OR)",House,$500,1998
"Campbell, Ben Nighthorse (R-CO)",Senate,$500,1998
"Castle, Michael N (R-DE)",House,$500,1998
"Davis, Tom (R-VA)",House,$500,1998
"Dodd, Chris (D-CT)",Senate,$500,1998
"Dooley, Cal (D-CA)",House,$500,1998
"Dreier, David (R-CA)",House,$500,1998
"Ford, Harold E (D-TN)",House,$500,1998
"Franks, Bob (R-NJ)",House,$500,1998
"Frelinghuysen, Rodney (R-NJ)",House,$500,1998
"Hall, Ralph (D-TX)",House,$500,1998
"Herger, Wally (R-CA)",House,$500,1998
"Houghton, Amo (R-NY)",House,$500,1998
"Johnson, Sam (R-TX)",House,$500,1998
"Leahy, Patrick (D-VT)",Senate,$500,1998
"Napolitano, Grace (D-CA)",House,$500,1998
"Nethercutt, George R Jr (R-WA)",House,$500,1998
"Northup, Anne M (R-KY)",House,$500,1998
"Smith, Adam (D-WA)",House,$500,1998
"Thomas, Bill (R-CA)",House,$500,1998
"Walden, Greg (R-OR)",House,$500,1998
"Bliley, Thomas J Jr (R-VA)",House,$250,1998
"DeGette, Diana (D-CO)",House,$250,1998
"Firestone, Brooks (R-CA)",House,$250,1998
"Hoffman, Randy D (R-CA)",House,$250,1998
"Mauk, William L (D-ID)",Senate,$250,1998
"Meehan, Marty (D-MA)",House,$250,1998
"Rauh, Mary S (D-NH)",House,$225,1998
"Baird, Brian (D-WA)",House,$200,1998
"Fazio, Vic (D-CA)",House,$200,1998
"Smith, Linda (R-WA)",House,$200,1998
"Woolsey, Lynn (D-CA)",House,$200,1998
"Feinstein, Dianne (D-CA)",Senate,$-20,1998
"Abraham, Spencer (R-MI)",Senate,"$16,500",2000
"Bush, George W (R)",Pres,"$13,250",2000
"Parker, Robin N (D-CA)",House,"$6,240",2000
"Cunneen, James F (R-CA)",House,"$6,000",2000
"Bradley, Bill (D)",Pres,"$5,250",2000
"Campbell, Tom (R-CA)",House,"$4,950",2000
"McCain, John (R-AZ)",Senate,"$4,901",2000
"Gorton, Slade (R-WA)",Senate,"$4,500",2000
"Bauer, Gary (R)",Pres,"$4,425",2000
"Feinstein, Dianne (D-CA)",Senate,"$4,250",2000
"Dooley, Cal (D-CA)",House,"$3,750",2000
"Browne, Harry (L)",Pres,"$3,700",2000
"Gore, Al (D)",Pres,"$3,500",2000
"Honda, Mike (D-CA)",House,"$2,550",2000
"Lofgren, Zoe (D-CA)",House,"$2,250",2000
"Wu, David (D-OR)",House,"$2,050",2000
"Acevedo-Vila, Anibal (3-PR)",,"$2,000",2000
"Dreier, David (R-CA)",House,"$2,000",2000
"Eshoo, Anna (D-CA)",House,"$2,000",2000
"Hatch, Orrin G (R-UT)",Senate,"$2,000",2000
"Roukema, Marge (R-NJ)",House,"$2,000",2000
"Schaffer, Bob (R-CO)",House,"$2,000",2000
"Simpson, Mike (R-ID)",House,"$2,000",2000
"Snowe, Olympia (R-ME)",Senate,"$2,000",2000
"Zimmer, Dick (R-NJ)",House,"$2,000",2000
"Morella, Connie (R-MD)",House,"$1,500",2000
"Smith, Adam (D-WA)",House,"$1,500",2000
"Nader, Ralph (3)",Pres,"$1,350",2000
"Boucher, Rick (D-VA)",House,"$1,250",2000
"Davis, Tom (R-VA)",House,"$1,250",2000
"Lazio, Rick A (R-NY)",House,"$1,250",2000
"Coggins, Regina Montoya (D-TX)",House,"$1,200",2000
"Baird, Brian (D-WA)",House,"$1,000",2000
"Bilbray, Brian P (R-CA)",House,"$1,000",2000
"Bingaman, Jeff (D-NM)",Senate,"$1,000",2000
"Burns, Conrad (R-MT)",Senate,"$1,000",2000
"Chafee, Lincoln (R-RI)",Senate,"$1,000",2000
"Crane, Phil (R-IL)",House,"$1,000",2000
"Doolittle, John T (R-CA)",House,"$1,000",2000
"Dunn, Jennifer (R-WA)",House,"$1,000",2000
"Franks, Bob (R-NJ)",House,"$1,000",2000
"Frist, Bill (R-TN)",Senate,"$1,000",2000
"Grams, Rod (R-MN)",Senate,"$1,000",2000
"Hastert, Dennis (R-IL)",House,"$1,000",2000
"Hooley, Darlene (D-OR)",House,"$1,000",2000
"Inslee, Jay R (D-WA)",House,"$1,000",2000
"Larsen, Rick (D-WA)",House,"$1,000",2000
"Lewis, John (D-GA)",House,"$1,000",2000
"Matsui, Robert T (D-CA)",House,"$1,000",2000
"Miller, Zell (D-GA)",Senate,"$1,000",2000
"Moore, Dennis (D-KS)",House,"$1,000",2000
"Moran, Jim (D-VA)",House,"$1,000",2000
"Nelson, Ben (D-NE)",Senate,"$1,000",2000
"Ose, Doug (R-CA)",House,"$1,000",2000
"Otter, C L (Butch) (R-ID)",House,"$1,000",2000
"Rangel, Charles B (D-NY)",House,"$1,000",2000
"Roth, William V Jr (R-DE)",Senate,"$1,000",2000
"Tauscher, Ellen (D-CA)",House,"$1,000",2000
"Torkildsen, Peter G (R-MA)",House,"$1,000",2000
"Rothfeld, Michael I (R-VA)",House,$900,2000
"Forbes, Steve (R)",Pres,$750,2000
"Rogan, James E (R-CA)",House,$750,2000
"Capps, Lois (D-CA)",House,$500,2000
"Cleland, Max (D-GA)",Senate,$500,2000
"Cunningham, Randy (Duke) (R-CA)",House,$500,2000
"Davis, Thomas James (D-WA)",House,$500,2000
"DeGette, Diana (D-CO)",House,$500,2000
"Frelinghuysen, Rodney (R-NJ)",House,$500,2000
"Gejdenson, Sam (D-CT)",House,$500,2000
"Howell, Carla (L-MA)",Senate,$500,2000
"Johnson, Sam (R-TX)",House,$500,2000
"Sessions, Pete (R-TX)",House,$500,2000
"Thompson, Mike (D-CA)",House,$500,2000
"Walden, Greg (R-OR)",House,$500,2000
"Boehner, John (R-OH)",House,$450,2000
"Meehan, Marty (D-MA)",House,$450,2000
"Buchanan, Pat (3)",Pres,$400,2000
"Colyer, Jeffrey William (R-KS)",House,$250,2000
"Dole, Elizabeth (R)",Pres,$250,2000
"Giuliani, Rudolph W (R-NY)",Senate,$250,2000
"Mansfield, Dennis (R-ID)",House,$250,2000
"McKinney, Cynthia (D-GA)",House,$250,2000
"Pall, Linda Louise Blackwell (D-ID)",House,$250,2000
"Santorum, Rick (R-PA)",Senate,$250,2000
