Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Brown Rudnick LLP,Oracle Corporation,YEAR-END REPORT,120000.00,02/08/2006,2005
Brown Rudnick LLP,Oracle Corporation,YEAR-END REPORT,120000.00,02/18/2005,2004
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER TERMINATION (NO ACTIVITY),20000.00,03/01/2013,2013
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/16/2010,2010
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/18/2008,2008
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/18/2012,2012
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/19/2011,2011
Brown Rudnick LLP,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/20/2009,2009
Brown Rudnick LLP,Oracle Corporation,REGISTRATION,,05/14/2004,2004
Brown Rudnick LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/17/2009,2009
Brown Rudnick LLP,Oracle Corporation,MID-YEAR REPORT,40000.00,07/18/2007,2007
Brown Rudnick LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/18/2008,2008
Brown Rudnick LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/18/2011,2011
Brown Rudnick LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/18/2012,2012
Brown Rudnick LLP,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/20/2010,2010
Brown Rudnick LLP,Oracle Corporation,MID-YEAR REPORT,80000.00,08/08/2006,2006
Brown Rudnick LLP,Oracle Corporation,MID-YEAR REPORT,,08/12/2004,2004
Brown Rudnick LLP,Oracle Corporation,MID-YEAR REPORT,120000.00,08/25/2005,2005
Brown Rudnick LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/15/2009,2009
Brown Rudnick LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/17/2008,2008
Brown Rudnick LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/17/2012,2012
Brown Rudnick LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/18/2010,2010
Brown Rudnick LLP,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/18/2011,2011
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,YEAR-END REPORT,140000.00,02/11/2000,1999
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,YEAR-END TERMINATION (NO ACTIVITY),,02/13/2007,2006
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,YEAR-END TERMINATION (NO ACTIVITY),,02/14/2001,2000
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,YEAR-END REPORT,,03/01/2006,2005
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,REGISTRATION,,04/20/1999,1999
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,MID-YEAR REPORT,120000.00,08/10/2006,2006
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,MID-YEAR REPORT,40000.00,08/13/1999,1999
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,MID-YEAR REPORT,140000.00,08/14/2000,2000
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,REGISTRATION AMENDMENT,,09/22/1999,1999
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ORACLE CORP,REGISTRATION,,10/28/2005,2005
Capitol Counsel LLC,Oracle Corporation,FOURTH QUARTER REPORT,30000.00,01/19/2018,2017
Capitol Counsel LLC,Oracle Corporation,FOURTH QUARTER REPORT,20000.00,01/20/2016,2015
Capitol Counsel LLC,Oracle Corporation,FOURTH QUARTER REPORT,60000.00,01/21/2019,2018
Capitol Counsel LLC,Oracle Corporation,FOURTH QUARTER REPORT,10000.00,01/23/2017,2016
Capitol Counsel LLC,Oracle Corporation,REGISTRATION,,03/04/2015,2015
Capitol Counsel LLC,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/17/2018,2018
Capitol Counsel LLC,Oracle Corporation,FIRST QUARTER REPORT,30000.00,04/20/2015,2015
Capitol Counsel LLC,Oracle Corporation,FIRST QUARTER REPORT,10000.00,04/20/2016,2016
Capitol Counsel LLC,Oracle Corporation,FIRST QUARTER REPORT,10000.00,04/20/2017,2017
Capitol Counsel LLC,Oracle Corporation,FIRST QUARTER REPORT,60000.00,04/21/2019,2019
Capitol Counsel LLC,Oracle Corporation,SECOND QUARTER REPORT,10000.00,07/18/2017,2017
Capitol Counsel LLC,Oracle Corporation,SECOND QUARTER REPORT,10000.00,07/20/2015,2015
Capitol Counsel LLC,Oracle Corporation,SECOND QUARTER REPORT,10000.00,07/20/2016,2016
Capitol Counsel LLC,Oracle Corporation,SECOND QUARTER REPORT,60000.00,07/20/2018,2018
Capitol Counsel LLC,Oracle Corporation,THIRD QUARTER REPORT,10000.00,10/19/2016,2016
Capitol Counsel LLC,Oracle Corporation,THIRD QUARTER REPORT,20000.00,10/20/2015,2015
Capitol Counsel LLC,Oracle Corporation,THIRD QUARTER REPORT,10000.00,10/20/2017,2017
Capitol Counsel LLC,Oracle Corporation,THIRD QUARTER REPORT,60000.00,10/21/2018,2018
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,50000.00,01/15/2010,2009
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,50000.00,01/16/2009,2008
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/16/2014,2013
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/16/2015,2014
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,40000.00,01/17/2013,2012
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,50000.00,01/18/2012,2011
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,50000.00,01/20/2011,2010
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/20/2016,2015
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/20/2017,2016
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/20/2019,2018
Capitol Hill Consulting Group,ORACLE,FOURTH QUARTER REPORT,60000.00,01/22/2018,2017
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,100000.00,02/03/2006,2005
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,80000.00,02/09/2007,2006
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,100000.00,02/11/2008,2007
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,80000.00,02/23/2005,2004
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,80000.00,02/24/2003,2002
Capitol Hill Consulting Group,ORACLE,REGISTRATION,,03/22/2002,2002
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/15/2015,2015
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/15/2016,2016
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,50000.00,04/16/2008,2008
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/16/2014,2014
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,50000.00,04/17/2009,2009
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/18/2013,2013
Capitol Hill Consulting Group,ORACLE,YEAR-END REPORT,80000.00,04/19/2004,2003
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,50000.00,04/19/2010,2010
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,50000.00,04/19/2011,2011
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,50000.00,04/19/2012,2012
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/19/2019,2019
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/20/2017,2017
Capitol Hill Consulting Group,ORACLE,FIRST QUARTER REPORT,60000.00,04/20/2018,2018
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/08/2014,2014
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,50000.00,07/09/2008,2008
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/10/2013,2013
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,50000.00,07/15/2009,2009
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/15/2015,2015
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,50000.00,07/16/2010,2010
